query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,question_type,n_expected,primary_metric_type,primary_metric_value,expected_response,generated_response
q_7382,Which style is the building located on the East Side of Midtown Manhattan that Robert Von Ancken appraised? ,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8503,0.8503,0.8503,189.0,20,20,,bridge,2,f1_score,0.0,,
q_626,What is the are of the university at which Dick Biddle served as head football coach?,failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.7,20,20,,bridge,2,f1_score,0.0,,
q_2806,The Chinese actress also known as Crystal Liu stars in Night Peacock with which three other actresses?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,169.4,20,20,,bridge,2,f1_score,0.0,,
q_4502,Which City in the Miami metropolitan area is home to the Primetime Race Group?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,169.9,20,20,,bridge,2,f1_score,0.0,,
q_41,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,125.8,20,20,,bridge,2,f1_score,0.0,,
q_6937,What was the name of a land where Maria Anna of Spain's husband was king?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,168.0,20,20,,bridge,2,f1_score,0.0,,
q_2778,Who was the team president of the 2012 Cleveland Browns?,failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3869,0.6241,0.6241,0.6241,166.5,20,20,,bridge,2,f1_score,0.0,,
q_4589,Who directed the 2014 American biographical survival drama film which Laura Elizabeth Dern was nominated for the Academy Award for Best Supporting Actress in,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,166.5,20,20,,bridge,2,f1_score,0.0,,
q_2724,The Very Best of Ugly Kid Joe: As Ugly as It Gets includes a cover of which Black Sabbath song from their 1970 debut?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7842,246.8,20,20,,bridge,2,f1_score,0.0,,
q_5148,"which German philosopher wrote ""The opera ""Lulu""  ",failed,0.1667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4118,0.4118,127.8,20,20,,bridge,2,f1_score,0.0,,
q_4438,Are Toshi and Warrel Dane both in the band Sanctuary?,failed,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.2641,0.4685,0.4685,206.4,20,20,,comparison,2,f1_score,0.0,,
q_5597,Dr. Saleha Mahmood Abedin's daughter was born in what year ?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,126.3,20,20,,bridge,2,f1_score,0.0,,
q_4851,What is the nationality of this company that services MS Moby Dada?,failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.6,20,20,,bridge,2,f1_score,0.0,,
q_6672,"Brandy was handpicked by a producer that herself had been recognized by the ""Guinness World Records"" for what?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,205.2,20,20,,bridge,2,f1_score,0.0,,
q_1654,"Which minor role did this New Zealand storyboard artist play in the film ""King Kong"" who will direct the film based on the novel by Philip Reeve?",failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.9,20,20,,bridge,2,f1_score,0.0,,
q_3696,What year did the director of The Quiet American die?,failed,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.2641,0.2641,0.2641,127.6,20,20,,bridge,2,f1_score,0.0,,
q_797,Blue Dwarf is what type of online text-based role-playing game?,failed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.3066,0.3066,0.4911,0.4911,127.6,20,20,,bridge,2,f1_score,0.0,,
q_4993,Who was the boyfriend of Thelma Lou in the series with Jim Nabors?,failed,0.125,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.1934,0.1934,170.4,20,20,,bridge,2,f1_score,0.0,,
q_1260,What was the sequel of the game that e was published by U.S. Gold in 1992?,failed,0.1111,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.1846,0.1846,130.0,20,20,,bridge,2,f1_score,0.0,,
q_1865,Private Music signed the drummer who was part of which English group?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,129.0,20,20,,bridge,2,f1_score,0.0,,
q_2907,"When was the American singer, songwriter, actress and LGBT rights activist born who won Grammy and Emmy award?",failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.4,20,20,,bridge,2,f1_score,0.0,,
q_3859,What position did the winner of the MVP in Pool C of the 2017 WBC play?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,205.6,20,20,,bridge,2,f1_score,0.0,,
q_3222,Kadeem Jack is a player in a league that started with how many teams?,failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,169.3,20,20,,bridge,2,f1_score,0.0,,
q_2022,Suzanne Simone Baptiste Louverture is the wife of the leader of which revolution?,failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3869,0.6509,0.6509,0.6509,125.6,20,20,,bridge,2,f1_score,0.0,,
q_350,"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?",failed,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5013,0.5013,0.5013,125.3,20,20,,bridge,2,f1_score,0.0,,
